,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2007,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2007,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2007,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2007,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2007,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2007,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2007,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2007,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2007,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2007,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2007,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2007,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2007,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2007,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2007,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2007,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2007,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2007,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2008,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2008,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2008,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2008,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2008,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2008,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2008,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2008,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2008,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2008,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2008,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2008,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2008,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2008,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2008,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2008,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2008,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2008,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2008,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2008,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2008,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2008,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2008,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2008,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2008,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2008,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2008,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2008,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2008,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2008,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2008,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2008,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2008,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2008,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2008,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2009,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2009,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2009,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2009,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2009,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2009,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2009,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2009,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2009,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2009,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2009,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2009,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2009,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2009,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2009,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2009,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2009,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2009,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2009,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2009,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2009,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2009,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2009,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2009,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2009,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2009,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2009,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2009,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2009,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2009,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2009,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2009,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2009,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2009,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2009,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2010,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2010,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2010,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2010,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2010,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2010,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2010,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2010,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2010,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2010,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2010,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2010,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2010,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2010,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2010,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2010,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2010,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2010,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2010,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2010,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2010,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2010,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2010,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2010,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2010,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2010,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2010,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2010,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2010,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2010,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2010,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2010,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2010,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2010,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2010,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2011,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2011,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2011,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2011,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2011,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2011,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2011,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2011,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2011,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2011,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2011,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2011,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2011,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2011,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2011,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2011,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2011,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2011,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2011,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2011,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2011,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2011,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2011,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2011,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2011,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2011,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2011,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2011,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2011,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2011,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2011,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2011,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2011,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2011,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2011,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2012,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2012,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2012,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2012,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2012,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2012,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2012,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2012,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2012,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2012,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2012,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2012,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2012,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2012,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2012,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2012,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2012,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2012,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2012,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2012,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2012,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2012,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2012,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2012,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2012,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2012,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2012,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2012,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2012,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2012,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2012,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2012,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2012,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2012,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2012,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2013,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2013,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2013,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2013,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2013,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2013,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2013,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2013,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2013,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2013,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2013,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2013,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2013,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2013,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2013,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2013,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2013,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2013,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2013,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2013,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2013,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2013,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2013,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2013,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2013,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2013,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2013,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2013,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2013,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2013,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2013,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2013,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2013,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2013,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2013,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2014,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2014,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2014,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2014,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2014,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2014,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2014,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2014,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2014,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2014,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2014,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2014,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2014,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2014,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2014,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2014,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2014,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2014,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2014,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2014,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2014,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2014,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2014,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2014,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2014,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2014,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2014,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2014,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2014,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2014,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2014,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2014,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2014,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2014,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2014,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2015,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2015,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2015,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2015,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2015,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2015,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2015,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2015,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2015,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2015,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2015,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2015,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2015,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2015,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2015,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2015,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2015,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2015,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2015,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2015,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2015,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2015,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2015,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2015,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2015,Sacramento Kings*
